label_fraction,repeat,n_train,test/loss,test/iou,test/f1,test/precision,test/recall,test/tp,test/fp,test/fn,test/tn
0.05,0,17,0.04004230350255966,0.36130744218826294,0.5308241844177246,0.40696820616722107,0.7630491852760315,614102.0,894866.0,190698.0,15946680.0
0.1,0,33,0.017284465953707695,0.3906530439853668,0.561826765537262,0.44238564372062683,0.7696185111999512,619389.0,780722.0,185411.0,16060824.0
0.25,0,83,0.016219487413764,0.3903474509716034,0.5615106225013733,0.43121337890625,0.8046458959579468,647579.0,854181.0,157221.0,15987365.0
0.5,0,166,0.010363791137933731,0.5906580686569214,0.742658793926239,0.7759373784065247,0.7121173143386841,573112.0,165494.0,231688.0,16676052.0
1.0,0,332,0.013789394870400429,0.5040944814682007,0.670296311378479,0.591778039932251,0.7728379964828491,621980.0,429056.0,182820.0,16412490.0
