label_fraction,repeat,n_train,test/loss,test/iou,test/f1,test/precision,test/recall,test/tp,test/fp,test/fn,test/tn
0.05,0,17,0.012103069573640823,0.6509275436401367,0.7885597944259644,0.758779764175415,0.8207728862762451,660558.0,209995.0,144242.0,16631551.0
0.1,0,33,0.009717023931443691,0.6842881441116333,0.8125547170639038,0.7636871337890625,0.8681038618087769,698650.0,216188.0,106150.0,16625358.0
0.25,0,83,0.008906222879886627,0.6925857067108154,0.8183759450912476,0.8052614331245422,0.8319246768951416,669533.0,161915.0,135267.0,16679631.0
0.5,0,166,0.007619292009621859,0.7064566612243652,0.8279807567596436,0.8037017583847046,0.8537723422050476,687116.0,167823.0,117684.0,16673723.0
1.0,0,332,0.00790050346404314,0.7370074987411499,0.8485944867134094,0.9075852632522583,0.7968041896820068,641268.0,65297.0,163532.0,16776249.0
