label_fraction,repeat,n_train,test/loss,test/iou,test/f1,test/precision,test/recall,test/tp,test/fp,test/fn,test/tn
0.05,0,17,0.04856986179947853,0.05805375054478645,0.109736867249012,0.05846945941448212,0.8908921480178833,716990.0,11545651.0,87810.0,5295895.0
0.1,0,33,0.041819848120212555,0.18774902820587158,0.31614258885383606,0.19837535917758942,0.7780218720436096,626152.0,2530248.0,178648.0,14311298.0
0.25,0,83,0.03584728389978409,0.21672582626342773,0.356244295835495,0.2234961837530136,0.8773658275604248,706104.0,2453252.0,98696.0,14388294.0
0.5,0,166,0.028441591188311577,0.31223830580711365,0.47588658332824707,0.3287326395511627,0.8615519404411316,693377.0,1415866.0,111423.0,15425680.0
1.0,0,332,0.01959533430635929,0.43106651306152344,0.6024408936500549,0.4737592935562134,0.8270949125289917,665646.0,739384.0,139154.0,16102162.0
