label_fraction,repeat,n_train,seed,test/loss,test/iou,test/f1,test/precision,test/recall,test/tp,test/fp,test/fn,test/tn
0.05,0,17,1234,0.040027640759944916,0.3617331087589264,0.531283438205719,0.4075143337249756,0.763028085231781,614085.0,892819.0,190715.0,15948727.0
0.1,0,33,1234,0.017193786799907684,0.39398545026779175,0.5652647614479065,0.44731223583221436,0.767701268196106,617846.0,763395.0,186954.0,16078151.0
0.25,0,83,1234,0.016341280192136765,0.3857392966747284,0.5567271113395691,0.4252745807170868,0.805800199508667,648508.0,876408.0,156292.0,15965138.0
0.5,0,166,1234,0.010394344106316566,0.5902733206748962,0.7423545718193054,0.7773666977882385,0.7103603482246399,571698.0,163731.0,233102.0,16677815.0
1.0,0,332,1234,0.013105480000376701,0.5268270969390869,0.690093994140625,0.6297855377197266,0.7631759643554688,614204.0,361055.0,190596.0,16480491.0
